Problem,|V|,|E|,Randomized,Greedy,Semi-greedy (α),Semi-greedy Weight,No. of iterations,Local Search Average Iterations,Local Search Average value,GRASP Iterations,GRASP Best,Known Best
G1,800,19176,9584,11247,0.85,11224,5,456,11349,50,11457,12078
G2,800,19176,9536,11272,0.85,11244,5,458,11343,50,11479,12084
G3,800,19176,9606,11255,0.85,11226,5,462,11352,50,11473,12077
G4,800,19176,9602,11255,0.85,11233,5,474,11382,50,11513,
G5,800,19176,9519,11229,0.85,11193,5,452,11319,50,11473,
G6,800,19176,47,1550,0.85,1699,5,467,1888,50,1988,
G7,800,19176,-65,1373,0.85,1522,5,450,1716,50,1876,
G8,800,19176,-78,1426,0.85,1575,5,459,1735,50,1861,
G9,800,19176,-24,1429,0.85,1651,5,466,1749,50,1884,
G10,800,19176,-113,1297,0.85,1556,5,440,1730,50,1835,
G11,800,1600,11,392,0.85,468,5,180,423,50,504,627
G12,800,1600,-14,378,0.85,446,5,181,405,50,494,621
G13,800,1600,24,400,0.85,504,5,177,434,50,522,645
G14,800,4694,2353,2896,0.85,2940,5,259,2911,50,2992,3187
G15,800,4661,2322,2881,0.85,2906,5,278,2896,50,2967,3169
G16,800,4672,2336,2908,0.85,2923,5,260,2904,50,2979,3172
G17,800,4667,2337,2890,0.85,2917,5,263,2899,50,2971,
G18,800,4694,42,732,0.85,836,5,323,805,50,926,
G19,800,4661,-53,546,0.85,717,5,325,726,50,813,
G20,800,4672,-12,624,0.85,744,5,328,758,50,874,
G21,800,4667,-16,646,0.85,744,5,327,747,50,845,
G22,2000,19990,10009,12738,0.85,12733,5,996,12790,50,13006,14123
G23,2000,19990,9992,12765,0.85,12778,5,991,12782,50,13032,14129
G24,2000,19990,9967,12736,0.85,12704,5,983,12821,50,12988,14131
G25,2000,19990,10002,12790,0.85,12752,5,957,12776,50,13012,
G26,2000,19990,10003,12725,0.85,12751,5,971,12780,50,13006,
G27,2000,19990,22,2255,0.85,2612,5,961,2768,50,2969,
G28,2000,19990,-40,2239,0.85,2583,5,978,2769,50,2954,
G29,2000,19990,78,2304,0.85,2671,5,956,2840,50,3047,
G30,2000,19990,-19,2318,0.85,2658,5,967,2856,50,3021,
G31,2000,19990,-24,2253,0.85,2671,5,959,2733,50,2957,
G32,2000,4000,0,942,0.85,1138,5,426,1021,50,1230,1560
G33,2000,4000,-1,940,0.85,1154,5,436,983,50,1218,1537
G34,2000,4000,-11,914,0.85,1156,5,440,982,50,1208,1541
G35,2000,11778,5844,7277,0.85,7398,5,663,7314,50,7473,8000
G36,2000,11766,5894,7309,0.85,7361,5,661,7302,50,7463,7996
G37,2000,11785,5843,7287,0.85,7399,5,685,7321,50,7474,8009
G38,2000,11779,5874,7283,0.85,7361,5,678,7312,50,7499,
G39,2000,11778,-7,1625,0.85,1958,5,832,1973,50,2159,
G40,2000,11766,-76,1552,0.85,1915,5,818,1940,50,2157,
G41,2000,11785,18,1586,0.85,1997,5,809,1955,50,2152,
G42,2000,11779,32,1728,0.85,1977,5,811,2011,50,2249,
G43,1000,9990,4980,6371,0.85,6360,5,491,6395,50,6506,7027
G44,1000,9990,4973,6372,0.85,6388,5,501,6375,50,6515,7022
G45,1000,9990,4986,6341,0.85,6394,5,475,6378,50,6499,7020
G46,1000,9990,4977,6396,0.85,6393,5,490,6375,50,6505,
G47,1000,9990,5003,6411,0.85,6389,5,496,6408,50,6511,
G48,3000,6000,2990,6000,0.85,5758,5,775,4848,50,6000,6000
G49,3000,6000,2982,6000,0.85,5694,5,768,4827,50,5930,6000
G50,3000,6000,3004,5880,0.85,5800,5,762,4841,50,5842,5988
G51,1000,5909,2955,3637,0.85,3680,5,332,3652,50,3749,
G52,1000,5916,2986,3640,0.85,3702,5,321,3671,50,3750,
G53,1000,5914,2957,3670,0.85,3706,5,332,3658,50,3760,
G54,1000,5916,2985,3657,0.85,3683,5,318,3665,50,3745,
